placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2024-12-06 00:00:00,2024-12-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 01:00:00,2024-12-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 02:00:00,2024-12-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 03:00:00,2024-12-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 04:00:00,2024-12-06 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 05:00:00,2024-12-06 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 06:00:00,2024-12-06 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 07:00:00,2024-12-06 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 08:00:00,2024-12-06 09:00:00,16,0,4,0,0,7,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 09:00:00,2024-12-06 10:00:00,90,0,26,7,4,9,11,10,5,0,0,6,1,1,2,3,2,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 10:00:00,2024-12-06 11:00:00,65,0,15,7,3,4,7,3,7,4,0,5,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 11:00:00,2024-12-06 12:00:00,72,2,23,7,2,4,4,4,3,1,0,5,1,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 12:00:00,2024-12-06 13:00:00,92,2,29,10,9,7,9,4,4,1,0,6,6,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 13:00:00,2024-12-06 14:00:00,63,2,25,5,2,7,3,1,3,2,0,3,2,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 14:00:00,2024-12-06 15:00:00,83,1,23,5,3,13,8,3,0,1,0,9,0,1,5,5,3,0,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 15:00:00,2024-12-06 16:00:00,93,1,26,7,7,13,9,5,5,1,0,5,2,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 16:00:00,2024-12-06 17:00:00,61,1,19,6,7,4,3,1,4,0,0,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 17:00:00,2024-12-06 18:00:00,61,1,19,5,3,5,4,2,2,1,0,6,1,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 18:00:00,2024-12-06 19:00:00,35,0,7,2,4,2,6,1,1,0,0,5,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 19:00:00,2024-12-06 20:00:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 20:00:00,2024-12-06 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 21:00:00,2024-12-06 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 22:00:00,2024-12-06 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-06 23:00:00,2024-12-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
