placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-02-13 00:00:00,2025-02-13 01:00:00,0
fukui-station-east-entrance,Person,2025-02-13 01:00:00,2025-02-13 02:00:00,0
fukui-station-east-entrance,Person,2025-02-13 02:00:00,2025-02-13 03:00:00,0
fukui-station-east-entrance,Person,2025-02-13 03:00:00,2025-02-13 04:00:00,0
fukui-station-east-entrance,Person,2025-02-13 04:00:00,2025-02-13 05:00:00,0
fukui-station-east-entrance,Person,2025-02-13 05:00:00,2025-02-13 06:00:00,24
fukui-station-east-entrance,Person,2025-02-13 06:00:00,2025-02-13 07:00:00,100
fukui-station-east-entrance,Person,2025-02-13 07:00:00,2025-02-13 08:00:00,263
fukui-station-east-entrance,Person,2025-02-13 08:00:00,2025-02-13 09:00:00,277
fukui-station-east-entrance,Person,2025-02-13 09:00:00,2025-02-13 10:00:00,352
