placement,object class,aggregate from,aggregate to,total count,female range35to44,female range13to17,female range55to64,female range06to12,female range45to54,female range65over,female range00to05,female range25to34,female range18to24,male range35to44,male range13to17,male range55to64,male range06to12,male range45to54,male range65over,male range00to05,male range25to34,male range18to24
rainbow-line-parking-lot-2-gate,Face,2024-12-22 09:00:00,2024-12-22 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 10:00:00,2024-12-22 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 11:00:00,2024-12-22 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 12:00:00,2024-12-22 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 13:00:00,2024-12-22 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 14:00:00,2024-12-22 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 15:00:00,2024-12-22 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 16:00:00,2024-12-22 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 17:00:00,2024-12-22 18:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 18:00:00,2024-12-22 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-12-22 19:00:00,2024-12-22 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
