placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-06-28 00:00:00,2026-06-28 01:00:00,15
tojinbo-shotaro,Person,2026-06-28 01:00:00,2026-06-28 02:00:00,5
tojinbo-shotaro,Person,2026-06-28 02:00:00,2026-06-28 03:00:00,12
tojinbo-shotaro,Person,2026-06-28 03:00:00,2026-06-28 04:00:00,9
tojinbo-shotaro,Person,2026-06-28 04:00:00,2026-06-28 05:00:00,0
tojinbo-shotaro,Person,2026-06-28 05:00:00,2026-06-28 06:00:00,15
tojinbo-shotaro,Person,2026-06-28 06:00:00,2026-06-28 07:00:00,61
tojinbo-shotaro,Person,2026-06-28 07:00:00,2026-06-28 08:00:00,88
tojinbo-shotaro,Person,2026-06-28 08:00:00,2026-06-28 09:00:00,279
tojinbo-shotaro,Person,2026-06-28 09:00:00,2026-06-28 10:00:00,935
tojinbo-shotaro,Person,2026-06-28 10:00:00,2026-06-28 11:00:00,1751
tojinbo-shotaro,Person,2026-06-28 11:00:00,2026-06-28 12:00:00,2120
tojinbo-shotaro,Person,2026-06-28 12:00:00,2026-06-28 13:00:00,2805
tojinbo-shotaro,Person,2026-06-28 13:00:00,2026-06-28 14:00:00,2601
tojinbo-shotaro,Person,2026-06-28 14:00:00,2026-06-28 15:00:00,2179
tojinbo-shotaro,Person,2026-06-28 15:00:00,2026-06-28 16:00:00,1897
tojinbo-shotaro,Person,2026-06-28 16:00:00,2026-06-28 17:00:00,1712
tojinbo-shotaro,Person,2026-06-28 17:00:00,2026-06-28 18:00:00,553
tojinbo-shotaro,Person,2026-06-28 18:00:00,2026-06-28 19:00:00,98
tojinbo-shotaro,Person,2026-06-28 19:00:00,2026-06-28 20:00:00,56
tojinbo-shotaro,Person,2026-06-28 20:00:00,2026-06-28 21:00:00,5
tojinbo-shotaro,Person,2026-06-28 21:00:00,2026-06-28 22:00:00,4
tojinbo-shotaro,Person,2026-06-28 22:00:00,2026-06-28 23:00:00,2
tojinbo-shotaro,Person,2026-06-28 23:00:00,2026-06-29 00:00:00,0
