placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-09-25 11:00:00,2026-09-25 11:05:00,34
fukui-station-east-entrance,Person,2026-09-25 11:05:00,2026-09-25 11:10:00,71
fukui-station-east-entrance,Person,2026-09-25 11:10:00,2026-09-25 11:15:00,49
fukui-station-east-entrance,Person,2026-09-25 11:15:00,2026-09-25 11:20:00,65
fukui-station-east-entrance,Person,2026-09-25 11:20:00,2026-09-25 11:25:00,87
fukui-station-east-entrance,Person,2026-09-25 11:25:00,2026-09-25 11:30:00,44
fukui-station-east-entrance,Person,2026-09-25 11:30:00,2026-09-25 11:35:00,57
fukui-station-east-entrance,Person,2026-09-25 11:35:00,2026-09-25 11:40:00,78
fukui-station-east-entrance,Person,2026-09-25 11:40:00,2026-09-25 11:45:00,57
fukui-station-east-entrance,Person,2026-09-25 11:45:00,2026-09-25 11:50:00,54
fukui-station-east-entrance,Person,2026-09-25 11:50:00,2026-09-25 11:55:00,44
fukui-station-east-entrance,Person,2026-09-25 11:55:00,2026-09-25 12:00:00,35
