placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-05-31 17:00:00,2026-05-31 17:05:00,83
tojinbo-shotaro,Person,2026-05-31 17:05:00,2026-05-31 17:10:00,86
tojinbo-shotaro,Person,2026-05-31 17:10:00,2026-05-31 17:15:00,50
tojinbo-shotaro,Person,2026-05-31 17:15:00,2026-05-31 17:20:00,90
tojinbo-shotaro,Person,2026-05-31 17:20:00,2026-05-31 17:25:00,58
tojinbo-shotaro,Person,2026-05-31 17:25:00,2026-05-31 17:30:00,34
tojinbo-shotaro,Person,2026-05-31 17:30:00,2026-05-31 17:35:00,39
tojinbo-shotaro,Person,2026-05-31 17:35:00,2026-05-31 17:40:00,8
tojinbo-shotaro,Person,2026-05-31 17:40:00,2026-05-31 17:45:00,7
tojinbo-shotaro,Person,2026-05-31 17:45:00,2026-05-31 17:50:00,21
tojinbo-shotaro,Person,2026-05-31 17:50:00,2026-05-31 17:55:00,23
tojinbo-shotaro,Person,2026-05-31 17:55:00,2026-05-31 18:00:00,18
