placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-08-01 00:00:00,2025-08-02 00:00:00,457,5,167,34,24,51,24,19,17,6,0,36,21,16,13,9,8,2,3,0,0,2,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-02 00:00:00,2025-08-03 00:00:00,561,4,188,39,24,49,32,29,16,9,0,40,23,24,35,20,19,5,3,0,2,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-03 00:00:00,2025-08-04 00:00:00,579,3,221,41,48,35,37,30,13,8,0,36,22,8,27,23,15,5,3,0,2,1,0,1,0,0,0,0
fukui-station-east-entrance,Face,2025-08-04 00:00:00,2025-08-05 00:00:00,421,7,158,23,22,32,19,16,14,8,1,34,16,11,21,16,8,4,8,0,1,0,0,1,1,0,0,0
fukui-station-east-entrance,Face,2025-08-05 00:00:00,2025-08-06 00:00:00,517,1,171,34,37,50,31,20,19,8,0,40,22,20,28,15,7,7,4,0,1,1,0,1,0,0,0,0
fukui-station-east-entrance,Face,2025-08-06 00:00:00,2025-08-07 00:00:00,424,3,156,35,26,38,28,13,8,5,0,35,15,12,23,12,5,8,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-07 00:00:00,2025-08-08 00:00:00,418,5,146,39,30,38,33,13,7,4,0,30,24,17,12,9,5,2,2,0,1,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-08 00:00:00,2025-08-09 00:00:00,416,4,159,24,32,40,16,17,10,8,0,33,16,16,15,7,9,6,3,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-09 00:00:00,2025-08-10 00:00:00,633,5,235,45,50,45,38,26,25,4,0,50,16,23,34,17,12,3,3,0,0,0,0,1,0,0,0,1
fukui-station-east-entrance,Face,2025-08-10 00:00:00,2025-08-11 00:00:00,748,8,308,57,44,69,48,19,4,7,0,61,22,23,35,25,7,3,5,0,1,1,0,0,0,1,0,0
fukui-station-east-entrance,Face,2025-08-11 00:00:00,2025-08-12 00:00:00,682,11,252,57,48,75,40,22,9,7,0,47,16,24,30,20,9,8,4,0,1,0,0,1,1,0,0,0
