placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-06-01 00:00:00,2026-06-02 00:00:00,6990
fukui-station-east-entrance,Person,2026-06-02 00:00:00,2026-06-03 00:00:00,6394
fukui-station-east-entrance,Person,2026-06-03 00:00:00,2026-06-04 00:00:00,7797
fukui-station-east-entrance,Person,2026-06-04 00:00:00,2026-06-05 00:00:00,7716
fukui-station-east-entrance,Person,2026-06-05 00:00:00,2026-06-06 00:00:00,9427
fukui-station-east-entrance,Person,2026-06-06 00:00:00,2026-06-07 00:00:00,11229
fukui-station-east-entrance,Person,2026-06-07 00:00:00,2026-06-08 00:00:00,10303
fukui-station-east-entrance,Person,2026-06-08 00:00:00,2026-06-09 00:00:00,7967
fukui-station-east-entrance,Person,2026-06-09 00:00:00,2026-06-10 00:00:00,6832
fukui-station-east-entrance,Person,2026-06-10 00:00:00,2026-06-11 00:00:00,9259
fukui-station-east-entrance,Person,2026-06-11 00:00:00,2026-06-12 00:00:00,8933
fukui-station-east-entrance,Person,2026-06-12 00:00:00,2026-06-13 00:00:00,10836
fukui-station-east-entrance,Person,2026-06-13 00:00:00,2026-06-14 00:00:00,14852
fukui-station-east-entrance,Person,2026-06-14 00:00:00,2026-06-15 00:00:00,15419
fukui-station-east-entrance,Person,2026-06-15 00:00:00,2026-06-16 00:00:00,11485
fukui-station-east-entrance,Person,2026-06-16 00:00:00,2026-06-17 00:00:00,9189
fukui-station-east-entrance,Person,2026-06-17 00:00:00,2026-06-18 00:00:00,8609
fukui-station-east-entrance,Person,2026-06-18 00:00:00,2026-06-19 00:00:00,8599
fukui-station-east-entrance,Person,2026-06-19 00:00:00,2026-06-20 00:00:00,10461
fukui-station-east-entrance,Person,2026-06-20 00:00:00,2026-06-21 00:00:00,12658
fukui-station-east-entrance,Person,2026-06-21 00:00:00,2026-06-22 00:00:00,13477
fukui-station-east-entrance,Person,2026-06-22 00:00:00,2026-06-23 00:00:00,8958
fukui-station-east-entrance,Person,2026-06-23 00:00:00,2026-06-24 00:00:00,7904
fukui-station-east-entrance,Person,2026-06-24 00:00:00,2026-06-25 00:00:00,8428
fukui-station-east-entrance,Person,2026-06-25 00:00:00,2026-06-26 00:00:00,8897
