placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2026-05-01 00:00:00,2026-05-02 00:00:00,6,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-02 00:00:00,2026-05-03 00:00:00,625,0,35,6,2,11,10,13,50,458,0,4,3,0,3,1,2,0,27,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-03 00:00:00,2026-05-04 00:00:00,321,1,21,5,7,11,12,33,62,157,0,3,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-04 00:00:00,2026-05-05 00:00:00,359,0,66,11,7,11,29,51,85,74,0,2,5,1,0,3,2,4,8,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-05 00:00:00,2026-05-06 00:00:00,261,0,7,3,1,1,4,7,8,204,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-06 00:00:00,2026-05-07 00:00:00,524,0,78,24,10,23,29,26,36,251,0,1,5,5,2,1,2,1,30,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-07 00:00:00,2026-05-08 00:00:00,46,0,10,3,0,4,0,1,1,19,0,0,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-08 00:00:00,2026-05-09 00:00:00,13,0,4,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-09 00:00:00,2026-05-10 00:00:00,116,1,30,10,9,10,11,13,9,7,0,3,3,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-10 00:00:00,2026-05-11 00:00:00,254,1,156,19,5,8,13,11,12,12,0,5,1,0,2,3,2,3,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-11 00:00:00,2026-05-12 00:00:00,82,0,10,4,1,10,7,10,27,9,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-12 00:00:00,2026-05-13 00:00:00,16,0,7,0,0,2,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-13 00:00:00,2026-05-14 00:00:00,17,0,1,2,0,3,0,2,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-14 00:00:00,2026-05-15 00:00:00,22,0,3,3,0,0,3,2,2,2,0,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-15 00:00:00,2026-05-16 00:00:00,27,0,6,1,1,2,2,2,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-16 00:00:00,2026-05-17 00:00:00,89,0,42,11,2,6,6,5,8,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-17 00:00:00,2026-05-18 00:00:00,363,0,184,25,7,24,14,19,42,39,0,4,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-18 00:00:00,2026-05-19 00:00:00,221,1,109,15,5,12,5,12,19,35,0,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-19 00:00:00,2026-05-20 00:00:00,40,0,7,3,3,6,5,5,5,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-20 00:00:00,2026-05-21 00:00:00,14,0,2,0,1,1,0,1,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-05-21 00:00:00,2026-05-22 00:00:00,10,0,0,0,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
