263,LicensePlate,2024-11-01 13:51:11,2024-11-01 13:51:19,"{""box"":{""left"":5312,""right"":7700,""top"":5899,""bottom"":8805},""time"":1730436671123},{""box"":{""left"":5312,""right"":7700,""top"":5899,""bottom"":8805},""time"":1730436673219},{""box"":{""left"":5312,""right"":7700,""top"":5899,""bottom"":8805},""time"":1730436674227},{""box"":{""left"":5312,""right"":7700,""top"":5899,""bottom"":8805},""time"":1730436675255},{""box"":{""left"":5312,""right"":7700,""top"":5899,""bottom"":8805},""time"":1730436676264},{""box"":{""left"":5312,""right"":7700,""top"":5899,""bottom"":8805},""time"":1730436677303},{""box"":{""left"":5312,""right"":7700,""top"":5899,""bottom"":8805},""time"":1730436678341}",,,豊橋,300,わ
264,Face,2024-11-01 13:51:15,2024-11-01 13:51:18,"{""box"":{""left"":1552,""right"":4983,""top"":1931,""bottom"":5502},""time"":1730436675867},{""box"":{""left"":1458,""right"":5057,""top"":1837,""bottom"":5576},""time"":1730436677202},{""box"":{""left"":1473,""right"":5052,""top"":1852,""bottom"":5561},""time"":1730436678343}","6,12",male,,,
267,LicensePlate,2024-11-01 13:51:20,2024-11-01 13:51:26,"{""box"":{""left"":2365,""right"":6585,""top"":2599,""bottom"":6905},""time"":1730436680447},{""box"":{""left"":2365,""right"":6585,""top"":2599,""bottom"":6905},""time"":1730436681774},{""box"":{""left"":2365,""right"":6585,""top"":2599,""bottom"":6905},""time"":1730436682780},{""box"":{""left"":2365,""right"":6585,""top"":2599,""bottom"":6905},""time"":1730436683789},{""box"":{""left"":2365,""right"":6585,""top"":2599,""bottom"":6905},""time"":1730436684856},{""box"":{""left"":2365,""right"":6585,""top"":2599,""bottom"":6905},""time"":1730436685885}",,,大阪,330,ほ
268,Face,2024-11-01 13:51:21,2024-11-01 13:51:21,"{""box"":{""left"":1465,""right"":4976,""top"":1831,""bottom"":5508},""time"":1730436681755}","45,54",male,,,
269,LicensePlate,2024-11-01 13:51:29,2024-11-01 13:51:33,"{""box"":{""left"":6034,""right"":7240,""top"":6588,""bottom"":8400},""time"":1730436689699},{""box"":{""left"":6034,""right"":7240,""top"":6588,""bottom"":8400},""time"":1730436692202},{""box"":{""left"":6034,""right"":7240,""top"":6588,""bottom"":8400},""time"":1730436693209}",,,大阪,330,ほ
270,Face,2024-11-01 13:51:33,2024-11-01 13:51:33,"{""box"":{""left"":2028,""right"":4960,""top"":2393,""bottom"":5460},""time"":1730436693148}","55,64",male,,,
271,Face,2024-11-01 13:51:34,2024-11-01 13:51:34,"{""box"":{""left"":4675,""right"":5310,""top"":5045,""bottom"":5823},""time"":1730436694344}","25,34",female,,,
273,Face,2024-11-01 13:51:35,2024-11-01 13:51:47,"{""box"":{""left"":487,""right"":4531,""top"":933,""bottom"":5190},""time"":1730436695379},{""box"":{""left"":888,""right"":4073,""top"":1408,""bottom"":4779},""time"":1730436697651},{""box"":{""left"":890,""right"":4014,""top"":1410,""bottom"":4727},""time"":1730436702328},{""box"":{""left"":962,""right"":3809,""top"":1623,""bottom"":4809},""time"":1730436705641},{""box"":{""left"":677,""right"":3824,""top"":1560,""bottom"":5111},""time"":1730436706738}","55,64",male,,,
274,Face,2024-11-01 13:51:59,2024-11-01 13:51:59,"{""box"":{""left"":44,""right"":4147,""top"":690,""bottom"":5086},""time"":1730436719904}","65,",male,,,
275,Face,2024-11-01 13:52:00,2024-11-01 13:52:01,"{""box"":{""left"":1023,""right"":4119,""top"":1523,""bottom"":4802},""time"":1730436720902}","6,12",male,,,
276,Face,2024-11-01 13:52:06,2024-11-01 13:52:06,"{""box"":{""left"":1653,""right"":4457,""top"":2018,""bottom"":4926},""time"":1730436726851}","65,",male,,,
278,LicensePlate,2024-11-01 13:52:12,2024-11-01 13:52:14,"{""box"":{""left"":2763,""right"":6776,""top"":3102,""bottom"":7109},""time"":1730436732064},{""box"":{""left"":2763,""right"":6776,""top"":3102,""bottom"":7109},""time"":1730436733102},{""box"":{""left"":2763,""right"":6776,""top"":3102,""bottom"":7109},""time"":1730436734130}",,,福井,501,な
279,Face,2024-11-01 13:52:15,2024-11-01 13:52:16,"{""box"":{""left"":1566,""right"":4878,""top"":1980,""bottom"":5481},""time"":1730436735302},{""box"":{""left"":1254,""right"":4375,""top"":2033,""bottom"":5508},""time"":1730436736947}","65,",male,,,
280,Face,2024-11-01 13:52:19,2024-11-01 13:52:26,"{""box"":{""left"":1002,""right"":3816,""top"":1929,""bottom"":5166},""time"":1730436739186},{""box"":{""left"":842,""right"":3384,""top"":1666,""bottom"":4575},""time"":1730436741489},{""box"":{""left"":623,""right"":3316,""top"":1366,""bottom"":4449},""time"":1730436746330}","55,64",male,,,
281,LicensePlate,2024-11-01 13:52:20,2024-11-01 13:52:22,"{""box"":{""left"":6312,""right"":7286,""top"":6929,""bottom"":8558},""time"":1730436740650},{""box"":{""left"":6312,""right"":7286,""top"":6929,""bottom"":8558},""time"":1730436742019}",,,福井,501,な
283,Face,2024-11-01 13:52:29,2024-11-01 13:52:35,"{""box"":{""left"":2490,""right"":4065,""top"":2904,""bottom"":4668},""time"":1730436749312},{""box"":{""left"":2092,""right"":4184,""top"":2592,""bottom"":4787},""time"":1730436751679},{""box"":{""left"":2358,""right"":4178,""top"":2802,""bottom"":4850},""time"":1730436752784},{""box"":{""left"":1952,""right"":4359,""top"":2581,""bottom"":5278},""time"":1730436753916},{""box"":{""left"":1049,""right"":4241,""top"":1736,""bottom"":5241},""time"":1730436755087}","13,17",male,,,
285,Face,2024-11-01 13:52:42,2024-11-01 13:52:42,"{""box"":{""left"":961,""right"":4272,""top"":1648,""bottom"":5336},""time"":1730436762266}","55,64",male,,,
286,Face,2024-11-01 13:52:44,2024-11-01 13:52:45,"{""box"":{""left"":2744,""right"":4054,""top"":3213,""bottom"":4729},""time"":1730436764908}","13,17",male,,,
