721,LicensePlate,2024-11-19 14:48:46,2024-11-19 14:48:47,"{""box"":{""left"":6019,""right"":7998,""top"":6636,""bottom"":9303},""time"":1731995326979}",,,京都,503,そ
722,Face,2024-11-19 14:48:48,2024-11-19 14:48:48,"{""box"":{""left"":5790,""right"":4459,""top"":6569,""bottom"":5524},""time"":1731995328545}","25,34",male,,,
723,LicensePlate,2024-11-19 14:51:16,2024-11-19 14:51:16,"{""box"":{""left"":5305,""right"":5792,""top"":5555,""bottom"":6159},""time"":1731995476612}",,,福岡,400,せ
724,LicensePlate,2024-11-19 14:51:25,2024-11-19 14:51:32,"{""box"":{""left"":5261,""right"":5758,""top"":5484,""bottom"":6122},""time"":1731995485327},{""box"":{""left"":5261,""right"":5758,""top"":5484,""bottom"":6122},""time"":1731995487199},{""box"":{""left"":5261,""right"":5758,""top"":5484,""bottom"":6122},""time"":1731995488071}",,,福岡,400,せ
727,LicensePlate,2024-11-19 14:51:33,2024-11-19 14:51:49,"{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995493920},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995499006},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995500007},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995501002},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995502041},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995503039},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995504046},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995505013},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995506010},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995507017},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995508016},{""box"":{""left"":2078,""right"":6886,""top"":2327,""bottom"":7208},""time"":1731995509024}",,,滋賀,580,も
728,LicensePlate,2024-11-19 14:51:34,2024-11-19 14:51:39,"{""box"":{""left"":5290,""right"":5765,""top"":5527,""bottom"":6097},""time"":1731995494730}",,,福岡,400,せ
730,LicensePlate,2024-11-19 14:51:50,2024-11-19 14:52:01,"{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995510453},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995512001},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995513034},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995514015},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995515011},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995516043},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995517054},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995518044},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995519012},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995520079},{""box"":{""left"":2153,""right"":6710,""top"":2402,""bottom"":7064},""time"":1731995521019}",,,郡山,580,く
731,LicensePlate,2024-11-19 14:51:51,2024-11-19 14:51:55,"{""box"":{""left"":5288,""right"":5765,""top"":5530,""bottom"":6100},""time"":1731995511297}",,,福岡,400,せ
732,LicensePlate,2024-11-19 14:52:02,2024-11-19 14:52:06,"{""box"":{""left"":5285,""right"":5759,""top"":5528,""bottom"":6096},""time"":1731995522920}",,,福岡,400,せ
733,LicensePlate,2024-11-19 14:52:03,2024-11-19 14:52:14,"{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995523425},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995525026},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995526008},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995527010},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995528041},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995529043},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995530047},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995531017},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995532190},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995533018},{""box"":{""left"":2269,""right"":6736,""top"":2553,""bottom"":7078},""time"":1731995534017}",,,福井,500,わ
736,LicensePlate,2024-11-19 14:52:16,2024-11-19 14:52:19,"{""box"":{""left"":2471,""right"":6792,""top"":2743,""bottom"":7129},""time"":1731995536023},{""box"":{""left"":2471,""right"":6792,""top"":2743,""bottom"":7129},""time"":1731995537003},{""box"":{""left"":2471,""right"":6792,""top"":2743,""bottom"":7129},""time"":1731995538036},{""box"":{""left"":2471,""right"":6792,""top"":2743,""bottom"":7129},""time"":1731995539034}",,,滋賀,501,わ
