101,LicensePlate,2024-11-25 09:15:14,2024-11-25 09:15:24,"{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493714890},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493716083},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493717050},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493718017},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493719014},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493720023},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493721019},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493722027},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493723034},{""box"":{""left"":2584,""right"":6725,""top"":2823,""bottom"":6982},""time"":1732493724034}",,,名古屋,400,む
102,Face,2024-11-25 09:15:23,2024-11-25 09:15:23,"{""box"":{""left"":1903,""right"":4835,""top"":2268,""bottom"":5335},""time"":1732493723301}","55,64",male,,,
103,Face,2024-11-25 09:15:25,2024-11-25 09:15:25,"{""box"":{""left"":5804,""right"":2002,""top"":6304,""bottom"":2729},""time"":1732493725170}","18,24",male,,,
105,Face,2024-11-25 09:15:31,2024-11-25 09:15:32,"{""box"":{""left"":3049,""right"":4552,""top"":3372,""bottom"":4994},""time"":1732493731685},{""box"":{""left"":2639,""right"":4640,""top"":2962,""bottom"":5082},""time"":1732493732020}","6,12",male,,,
107,LicensePlate,2024-11-25 09:15:42,2024-11-25 09:15:46,"{""box"":{""left"":2531,""right"":6777,""top"":2811,""bottom"":7135},""time"":1732493742875},{""box"":{""left"":2531,""right"":6777,""top"":2811,""bottom"":7135},""time"":1732493744081},{""box"":{""left"":2531,""right"":6777,""top"":2811,""bottom"":7135},""time"":1732493745047},{""box"":{""left"":2531,""right"":6777,""top"":2811,""bottom"":7135},""time"":1732493746055}",,,大阪,303,そ
108,LicensePlate,2024-11-25 09:15:49,2024-11-25 09:15:55,"{""box"":{""left"":6290,""right"":7442,""top"":6798,""bottom"":8689},""time"":1732493749127},{""box"":{""left"":6290,""right"":7442,""top"":6798,""bottom"":8689},""time"":1732493754040},{""box"":{""left"":6290,""right"":7442,""top"":6798,""bottom"":8689},""time"":1732493755045}",,,大阪,303,そ
109,Face,2024-11-25 09:15:53,2024-11-25 09:15:59,"{""box"":{""left"":2059,""right"":4960,""top"":2425,""bottom"":5460},""time"":1732493753241}","55,64",male,,,
110,Face,2024-11-25 09:15:57,2024-11-25 09:15:58,"{""box"":{""left"":4773,""right"":5284,""top"":5273,""bottom"":6012},""time"":1732493757014},{""box"":{""left"":5956,""right"":4781,""top"":6696,""bottom"":5934},""time"":1732493758050}","45,54",male,,,
111,Face,2024-11-25 09:16:00,2024-11-25 09:16:00,"{""box"":{""left"":2739,""right"":4132,""top"":3082,""bottom"":4601},""time"":1732493760493}","6,12",male,,,
112,Face,2024-11-25 09:16:27,2024-11-25 09:16:27,"{""box"":{""left"":4617,""right"":3440,""top"":5117,""bottom"":4168},""time"":1732493787013}","65,",male,,,
113,Face,2024-11-25 09:16:29,2024-11-25 09:16:31,"{""box"":{""left"":63,""right"":3580,""top"":795,""bottom"":4727},""time"":1732493789287},{""box"":{""left"":67,""right"":3745,""top"":590,""bottom"":4684},""time"":1732493790185},{""box"":{""left"":851,""right"":3365,""top"":1547,""bottom"":4393},""time"":1732493791019}","55,64",male,,,
114,Face,2024-11-25 09:16:33,2024-11-25 09:16:34,"{""box"":{""left"":852,""right"":3328,""top"":1506,""bottom"":4279},""time"":1732493793857}","25,34",male,,,
