365,LicensePlate,2024-11-25 10:29:29,2024-11-25 10:29:37,"{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498169029},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498170029},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498171037},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498172004},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498173002},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498174040},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498175047},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498176016},{""box"":{""left"":2454,""right"":6848,""top"":2729,""bottom"":7185},""time"":1732498177015}",,,岡崎,533,ほ
366,Face,2024-11-25 10:29:35,2024-11-25 10:29:42,"{""box"":{""left"":1664,""right"":4835,""top"":2007,""bottom"":5335},""time"":1732498175578},{""box"":{""left"":1854,""right"":4791,""top"":2213,""bottom"":5280},""time"":1732498182061}","55,64",male,,,
368,Face,2024-11-25 10:30:33,2024-11-25 10:30:33,"{""box"":{""left"":3364,""right"":4382,""top"":3730,""bottom"":4851},""time"":1732498233516}","13,17",male,,,
369,LicensePlate,2024-11-25 10:30:37,2024-11-25 10:30:40,"{""box"":{""left"":2422,""right"":6906,""top"":2742,""bottom"":7272},""time"":1732498237187},{""box"":{""left"":2422,""right"":6906,""top"":2742,""bottom"":7272},""time"":1732498238021},{""box"":{""left"":2422,""right"":6906,""top"":2742,""bottom"":7272},""time"":1732498239017},{""box"":{""left"":2422,""right"":6906,""top"":2742,""bottom"":7272},""time"":1732498240025}",,,金沢,300,ね
370,LicensePlate,2024-11-25 10:30:43,2024-11-25 10:30:45,"{""box"":{""left"":5880,""right"":7740,""top"":6477,""bottom"":9067},""time"":1732498243467},{""box"":{""left"":5880,""right"":7740,""top"":6477,""bottom"":9067},""time"":1732498245006}",,,金沢,300,ね
372,Face,2024-11-25 10:30:46,2024-11-25 10:30:46,"{""box"":{""left"":1566,""right"":4829,""top"":1980,""bottom"":5403},""time"":1732498246013}","55,64",male,,,
373,Face,2024-11-25 10:30:47,2024-11-25 10:30:48,"{""box"":{""left"":2153,""right"":4690,""top"":2506,""bottom"":5142},""time"":1732498247741}","65,",male,,,
375,LicensePlate,2024-11-25 10:31:56,2024-11-25 10:31:59,"{""box"":{""left"":2745,""right"":6900,""top"":3038,""bottom"":7212},""time"":1732498316664},{""box"":{""left"":2745,""right"":6900,""top"":3038,""bottom"":7212},""time"":1732498317000},{""box"":{""left"":2745,""right"":6900,""top"":3038,""bottom"":7212},""time"":1732498318026},{""box"":{""left"":2745,""right"":6900,""top"":3038,""bottom"":7212},""time"":1732498319003}",,,相模,333,て
376,LicensePlate,2024-11-25 10:32:01,2024-11-25 10:32:04,"{""box"":{""left"":6020,""right"":7719,""top"":6618,""bottom"":8843},""time"":1732498321908},{""box"":{""left"":6020,""right"":7719,""top"":6618,""bottom"":8843},""time"":1732498324015}",,,相模,333,て
377,Face,2024-11-25 10:32:04,2024-11-25 10:32:04,"{""box"":{""left"":1927,""right"":4672,""top"":2293,""bottom"":5211},""time"":1732498324324}","65,",male,,,
378,LicensePlate,2024-11-25 10:32:09,2024-11-25 10:32:13,"{""box"":{""left"":2475,""right"":6641,""top"":2764,""bottom"":6983},""time"":1732498329692},{""box"":{""left"":2475,""right"":6641,""top"":2764,""bottom"":6983},""time"":1732498330018},{""box"":{""left"":2475,""right"":6641,""top"":2764,""bottom"":6983},""time"":1732498331025},{""box"":{""left"":2475,""right"":6641,""top"":2764,""bottom"":6983},""time"":1732498332032},{""box"":{""left"":2475,""right"":6641,""top"":2764,""bottom"":6983},""time"":1732498333031}",,,神戸,304,つ
379,LicensePlate,2024-11-25 10:32:16,2024-11-25 10:32:18,"{""box"":{""left"":5838,""right"":7247,""top"":6480,""bottom"":8573},""time"":1732498336239},{""box"":{""left"":5838,""right"":7247,""top"":6480,""bottom"":8573},""time"":1732498338005}",,,神戸,304,つ
380,Face,2024-11-25 10:32:17,2024-11-25 10:32:20,"{""box"":{""left"":1766,""right"":4929,""top"":2155,""bottom"":5429},""time"":1732498337147}","65,",male,,,
381,Face,2024-11-25 10:33:23,2024-11-25 10:33:24,"{""box"":{""left"":6369,""right"":3098,""top"":6739,""bottom"":3573},""time"":1732498403040}","55,64",male,,,
382,Face,2024-11-25 10:33:29,2024-11-25 10:33:33,"{""box"":{""left"":1159,""right"":4139,""top"":1573,""bottom"":4706},""time"":1732498409722},{""box"":{""left"":1078,""right"":4141,""top"":1484,""bottom"":4727},""time"":1732498413863}","25,34",male,,,
