382,LicensePlate,2024-11-29 14:09:14,2024-11-29 14:09:47,"{""box"":{""left"":4776,""right"":6877,""top"":5243,""bottom"":7643},""time"":1732856954368},{""box"":{""left"":4776,""right"":6877,""top"":5243,""bottom"":7643},""time"":1732856986003},{""box"":{""left"":4776,""right"":6877,""top"":5243,""bottom"":7643},""time"":1732856987021}",,,堺,200,あ
386,LicensePlate,2024-11-29 14:10:56,2024-11-29 14:10:59,"{""box"":{""left"":2922,""right"":6557,""top"":3183,""bottom"":6875},""time"":1732857056433},{""box"":{""left"":2922,""right"":6557,""top"":3183,""bottom"":6875},""time"":1732857057000},{""box"":{""left"":2922,""right"":6557,""top"":3183,""bottom"":6875},""time"":1732857058027},{""box"":{""left"":2922,""right"":6557,""top"":3183,""bottom"":6875},""time"":1732857059005}",,,福井,501,ね
387,LicensePlate,2024-11-29 14:11:03,2024-11-29 14:11:07,"{""box"":{""left"":6735,""right"":6831,""top"":7199,""bottom"":7870},""time"":1732857063514},{""box"":{""left"":6735,""right"":6831,""top"":7199,""bottom"":7870},""time"":1732857067056}",,,福井,501,ね
388,Face,2024-11-29 14:11:08,2024-11-29 14:11:08,"{""box"":{""left"":4609,""right"":4413,""top"":4999,""bottom"":4882},""time"":1732857068627}","25,34",male,,,
390,LicensePlate,2024-11-29 14:11:14,2024-11-29 14:11:29,"{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857074004},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857075010},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857076006},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857077013},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857078050},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857079086},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857080052},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857081049},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857082027},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857083024},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857084000},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857085037},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857086004},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857087011},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857088038},{""box"":{""left"":3119,""right"":6567,""top"":3392,""bottom"":6862},""time"":1732857089045}",,,福井,501,さ
392,LicensePlate,2024-11-29 14:11:31,2024-11-29 14:11:39,"{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857091478},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857092047},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857093054},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857094020},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857095024},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857096192},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857097027},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857098034},{""box"":{""left"":2727,""right"":6664,""top"":2981,""bottom"":7067},""time"":1732857099001}",,,福井,300,わ
393,Face,2024-11-29 14:12:32,2024-11-29 14:12:33,"{""box"":{""left"":2046,""right"":4882,""top"":2435,""bottom"":5414},""time"":1732857152992}","55,64",male,,,
394,LicensePlate,2024-11-29 14:12:41,2024-11-29 14:12:47,"{""box"":{""left"":2409,""right"":6735,""top"":2678,""bottom"":7060},""time"":1732857161773},{""box"":{""left"":2409,""right"":6735,""top"":2678,""bottom"":7060},""time"":1732857163046},{""box"":{""left"":2409,""right"":6735,""top"":2678,""bottom"":7060},""time"":1732857164052},{""box"":{""left"":2409,""right"":6735,""top"":2678,""bottom"":7060},""time"":1732857165018},{""box"":{""left"":2409,""right"":6735,""top"":2678,""bottom"":7060},""time"":1732857166023},{""box"":{""left"":2409,""right"":6735,""top"":2678,""bottom"":7060},""time"":1732857167023}",,,名古屋,3506,わ
395,LicensePlate,2024-11-29 14:12:49,2024-11-29 14:12:53,"{""box"":{""left"":5454,""right"":7702,""top"":6053,""bottom"":8870},""time"":1732857169830},{""box"":{""left"":5454,""right"":7702,""top"":6053,""bottom"":8870},""time"":1732857173040}",,,名古屋,506,わ
396,Face,2024-11-29 14:12:52,2024-11-29 14:12:54,"{""box"":{""left"":1672,""right"":4882,""top"":2061,""bottom"":5414},""time"":1732857172434}","55,64",male,,,
397,Face,2024-11-29 14:12:53,2024-11-29 14:12:54,"{""box"":{""left"":5211,""right"":5022,""top"":5898,""bottom"":6086},""time"":1732857173994},{""box"":{""left"":5356,""right"":4978,""top"":6052,""bottom"":6055},""time"":1732857174026}","45,54",female,,,
